req_id	description	artifact	status	notes
R1	Experiment inventory	EXPERIMENT_MASTER_LEDGER.tsv	PASS	35 eval dirs catalogued
R2	Statistical audit no p-hacking	statistics/STATISTICAL_AUDIT.md	PASS	Frozen observations only
R3	Terminology repair	TERMINOLOGY_MATRIX.tsv	PASS	IC disambiguated
R4	HydraLamp boundary	HYDRADG_HYDRALAMP_BOUNDARY.md	PASS	
R5	Figures >=7	figures/	PASS	
R6	Tables >=10	tables/	PASS	
R7	Manuscript 2-8 pages	manuscript/build/main.pdf	PENDING	
R8	R1/R2/R3 deterministic	statistics/STATISTICAL_REPRODUCIBILITY_RECEIPT.json	PASS	
R9	Double blind	Anonymous author	PASS	
R10	No Studio rerun	policy	PASS	Verify frozen outputs only
