component_id	license	redistribution_allowed	rights_state	claim_ceiling
hydradg	MIT	internal_only	DOCUMENTED	CUSTODY_MECHANICS
fco_fcg	CC BY-NC-ND 4.0	see_license	DOCUMENTED	FRAMEWORK_PROVENANCE
gsigmad	see_upstream	see_license	DOCUMENTED	GOVERNANCE_ONLY
seedgraph	MIT	internal_only	DOCUMENTED	PARTIAL_CORPUS
ollarma	MIT	internal_only	DOCUMENTED	INFRASTRUCTURE
hydralamp	MIT	internal_only	DOCUMENTED	SYSTEMS_VALIDATION_ONLY
hydradb	MIT	internal_only	DOCUMENTED	PARTIAL_READBACK
antigence	see_upstream	see_license	DOCUMENTED	NOT_ADMISSIBLE_PRIMARY
vithia	CC BY-NC-ND 4.0	see_license	DOCUMENTED	ZERO_PRIMARY_WEIGHT
qwen3-1.7b	model_license	see_license	DOCUMENTED	UNDERPOWERED
qwen2.5-coder-7b	model_license	see_license	DOCUMENTED	UNDERPOWERED
neurips2026_style	NeurIPS kit terms	see_license	DOCUMENTED	TEMPLATE
cases_jsonl	MIT	internal_only	DOCUMENTED	PRIMARY_EVIDENCE
