cite_key	title	venue	role	admission	used_in
lewis2020rag	Retrieval-augmented generation for knowledge-intensive NLP tasks	NeurIPS 2020	RAG baseline	ADMITTED	main.tex
liu2023agentbench	AgentBench: Evaluating LLMs as agents	arXiv:2308.03688	Agent eval	ADMITTED	main.tex
zhou2023webarena	WebArena realistic web environment	arXiv:2307.13854	Agent eval	ADMITTED	main.tex
edge2024graphrag	Graph RAG approach	arXiv:2404.16130	Structured context prior art	ADMITTED	main.tex
nosek2018prereg	Preregistration revolution	PNAS 2018	Preregistration	ADMITTED	main.tex
wilkinson2016fair	FAIR guiding principles	Scientific Data 2016	FAIR	ADMITTED	main.tex
groth2010nano	Anatomy of a nanopublication	Information Services & Use 2010	Nanopublications	ADMITTED	main.tex
prereg2026	HydraDG EXP-008/009 preregistrations	Internal frozen	Our prereg	ADMITTED	anonymized bibitem
stage2	IC Failure Learning Stage-2 closeout	Internal frozen	Our stage-2	ADMITTED	anonymized bibitem
neurips2026	NewInML workshop CFP	NeurIPS 2026	Venue	ADMITTED	main.tex
prov-o	PROV-O provenance ontology	W3C	Prior art custody	MAIN	main.tex;appendix.tex
rocrate	RO-Crate research object packaging	SPEC	Prior art packaging	APPENDIX	prior art matrix
cwlprov	CWLProv workflow provenance	SPEC	Prior art workflows	MAIN	main.tex;appendix.tex
laurie2013ct	Certificate Transparency	RFC 6962	Merkle audit logs	MAIN	main.tex
karl2024negative	Embracing Negative Results in Machine Learning	ICML 2024 PMLR	Negative results	MAIN	main.tex
wang2026agentprovenance	From Agent Traces to Trust	arXiv:2606.04990	Agent execution provenance	MAIN	main.tex
zaharia2018mlflow	Accelerating the Machine Learning Lifecycle with MLflow	IEEE DEB 2018	Experiment tracking	APPENDIX	prior art matrix
geifman2017selective	Selective classification for deep neural networks	ICML 2017	Selective prediction	APPENDIX	prior art matrix
