term	our_usage	third_party_collision_search	trademark_status_if_verifiable	copyright_not_applicable_or_notes	required_attribution	recommended_paper_usage	risk
HydraDG	Framework name for custody-first agent experiments	No collision found in ML frameworks search	UNVERIFIED	N/A	Anonymous citation in double-blind	Use as descriptive name; no TM claim	LOW
HydraLamp	Systems-validation implementation name	Generic lamp metaphor; no major collision	UNVERIFIED	N/A	Define vs HydraDG	Use descriptive; no TM	LOW
Antigence	Related security/bio implementation	Distinct project name	UNVERIFIED	N/A	Transfer validation only	Do not imply efficacy	MEDIUM
Fractal Custody Object	FCO formal term	Novel compound term	UNVERIFIED	N/A	Define acronym	No TM	LOW
Fractal Custody Graph	FCG formal term	Novel compound term	UNVERIFIED	N/A	Define acronym	No TM	LOW
SeedGraph	Knowledge atomization system	Generic seed+graph	UNVERIFIED	N/A	Limitation disclosure	No TM	LOW
HydraDB	Projection store	Generic hydra+db	UNVERIFIED	N/A	Infrastructure mention	No TM	LOW
Ollarma	Ollama bridge	Portmanteau Ollama+arma	UNVERIFIED	N/A	Methods	No TM	LOW
Anticube	Security quadrant classifier	Distinct coined term	UNVERIFIED	N/A	Appendix figure	No TM	LOW
Immersive Commons	Hackathon portal	Third-party portal name	UNVERIFIED	N/A	Operational footnote only	Not scientific method name	MEDIUM
