component_id	admission_class	primary_solo_admission	evidence_class	claim_ceiling	reverse_trace_receipt	notes
EXP-008	PRIMARY	YES	VERIFIED_EMPIRICAL_RESULT	UNDERPOWERED_NO_EFFECT_CLAIM	eval/ic_failure_learning_20260827/EXP008_VERDICT.json	treatment effect not established
EXP-009	PRIMARY	YES	VERIFIED_EMPIRICAL_RESULT	UNDERPOWERED_ORDERING_NOT_ESTABLISHED	eval/ic_failure_learning_20260827/EXP009_VERDICT.json	secondary not promoted
HYDRALAMP-CORE-STRESS	SYSTEMS_RELATED	NO	DETERMINISTIC_TOOL_OUTPUT	SYSTEMS_VALIDATION_ONLY	eval/hydralamp_runtype_20260826/CORE_STRESS_RECEIPT.json	does not promote EXP-008/009
HYDRALAMP-TAMPER	SYSTEMS_RELATED	NO	DETERMINISTIC_TOOL_OUTPUT	SYSTEMS_VALIDATION_ONLY	eval/hydralamp_runtype_20260826/HASH_TAMPER_STRESS_RECEIPT.json	synthetic tamper suite
GettingScienceDone	ARCHITECTURE_ONLY	NO	SPECIFICATION	MECHANICAL_SCIENTIFIC_METHOD	gettingsciencedone@484e42c	spec-only enforcement gap on UNDERPOWERED
FCO_FCG	RELATED_FOUNDATIONAL	NO	MECHANISM_EXPERIMENT	CUSTODY_MECHANICS_ONLY	fractal-custody-objects@2431dd9	not signed/MMR committed for NewInML
SeedGraph bounded 25x312	SYSTEMS_RELATED	NO	DETERMINISTIC_TOOL_OUTPUT	BOUNDED_ATOMIZATION_ONLY	eval/newinml_final_daisy_20260829/execution/lane8_systems_experiment/A1_DETERMINISM_RECEIPT.json	not whole-project
SeedGraph 163 traceability	SYSTEMS_RELATED	NO	DETERMINISTIC_TOOL_OUTPUT	MANUSCRIPT_TRACEABILITY_ONLY	paper/newinml2026_solo/seedgraph_traceability/SEEDGRAPH_TRACEABILITY_CLOSEOUT.json	partial corpus
SeedGraph V1A whole build	DEVELOPMENT_LINEAGE	NO	INTERRUPTED	NOT_ADMISSIBLE_COMPLETE	paper/newinml2026_solo/provenance/final_review_v2/IMPLEMENTATION_SUCCESS_GAP_MATRIX.json	NONTERMINAL
Antigence	RELATED_IMPLEMENTATION	NO	MIXED_BENCHMARK	TRANSFER_EVIDENCE_ONLY	antigence@060dba88/BENCHMARKS.md	Devign ~chance
Ollarma	SYSTEMS_RELATED	NO	EXECUTION_SUBSTRATE	LOCAL_EXECUTION_ONLY	ollarma@d0cf78d4	eval/ollarma_fcg_root_review_20260827/
Vitaology	RELATED_IMPLEMENTATION	NO	PILOT_IMPLEMENTATION	APPLICATION_PILOT_ONLY	vitaology@0efab4aa/results/exp002_*	EXP-003 FAIL gate open
Vithia companion	RELATED_IMPLEMENTATION	NO	GATED_ARTIFACT	CITATION_REFERENCE_ONLY	Zenodo 10.5281/zenodo.21829929	CC-BY-NC-ND; HF gated
Anticube semantics	DEVELOPMENT_LINEAGE	NO	UNRESOLVED_CANONICAL_SOURCE	BLOCKED	xenodisorder bootstrap schema only	Appendix F blocked
Q38-SUCCESSOR-PROBE	PLANNED	NO	NONTERMINAL	NOT_ADMISSIBLE_PRIMARY	eval/qwen38_successor_probe_20260828/	omit from primary
GPU-SGLANG-TERMINAL	BLOCKED	NO	NOT_EXECUTED	NOT_ADMISSIBLE_PRIMARY	eval/newinml_final_daisy_20260829/execution/gpu_sglang_terminal/	GPU not provisioned
CFOS-HL-001	BLOCKED	NO	NOT_EXECUTED	NOT_ADMISSIBLE	eval/newinml_final_daisy_20260829/execution/lane1_cfos/	cloudflare-os NOT_LOCATED
PROTEIN_HINGE	EXCLUDED	NO	NOT_ADMITTED	NONE	N/A	TEAM lane outside SOLO scope
