project	experiment_id	status	claim_ceiling	NewInML_role	source_pointer	source_sha
biobitworks/hydradg	EXP-008	UNDERPOWERED	PRIMARY_PROBABILISTIC	MAIN	eval/ic_failure_learning_20260827	7c09ae41d916756bd18ac3baf996ca879019e68f3c9a951a7e029895c9fa4d0c
biobitworks/hydradg	EXP-009	UNDERPOWERED	PRIMARY_PROBABILISTIC	MAIN	eval/ic_failure_learning_20260827	7c09ae41d916756bd18ac3baf996ca879019e68f3c9a951a7e029895c9fa4d0c
biobitworks/hydradg	IC-FAILURE-LEARNING-STAGE2	FAILURE_LEARNING_NOT_ESTABLISHED	HISTORICAL_CONTEXT	MAIN_CONTEXT	eval/ic_failure_learning_20260827	7c09ae41d916756bd18ac3baf996ca879019e68f3c9a951a7e029895c9fa4d0c
biobitworks/hydradg	HYDRALAMP-CORE-STRESS	PASS	SYSTEMS_VALIDATION	SYSTEMS	eval/hydralamp_runtype_20260826	9d2255ee1d2b747574cd2c4d3218d9d5daaa4918db45da786a131a9cb11f7e39
biobitworks/hydradg	HYDRALAMP-TAMPER	PASS	SYSTEMS_VALIDATION	SYSTEMS	eval/hydralamp_runtype_20260826	9d2255ee1d2b747574cd2c4d3218d9d5daaa4918db45da786a131a9cb11f7e39
biobitworks/hydradg	CONTEXT-VS-ENTROPY	COMPLETE	ENGINEERING_PROXY	MINOR	eval/context_vs_entropy_20260820	512be8de14feb8512b5dcb7724df740bc2f027946f9250859f91d37e984d5e91
biobitworks/hydradg	COTAL-HYDRADG-ABLATION	COMPLETE	MINOR_ABLATION	APPENDIX	eval/cotal_hydradg_ablation_20260827	a2b459465df203d08abc804c86ecf948772685af6d655c019501b230d8aff9b9
biobitworks/hydradg	NEWINML-DOC-ROUNDTRIP-001	TERMINAL_PASS	CUSTODY_VALIDATION	MINOR	eval/newinml_doc_roundtrip_20260829	
biobitworks/hydradg	SEEDGRAPH-TRACEABILITY-001	TERMINAL_PASS	CUSTODY_MECHANICS	MINOR	paper/newinml2026_solo/seedgraph_traceability	14b5d18e04c089009f1b8020e44a4fb8223f8d457d7711425012fa8fafa9ca84
biobitworks/hydradg	AGENT-NATIVE-BUILDERS	EXECUTED	HACKATHON_DEMO	APPENDIX	eval/agent_native_builders_20260826	6d29f6587fa9e0a459249f4218dfcb26333d29f838501348ca03656d07fc3ad7
