component_id	canonical_repository_or_source	exact_revision_used	version_or_tag	digest_if_model	role	license	license_source	license_verification_state	experimental_or_supporting	distribution_state	anticube_state	claim_ceiling	evidence_reference
hydradg	https://github.com/biobitworks/hydradg	f02eb1c7cb14df303334c91d1fea7d46ef667b2f	0.3.7		Governed experimental framework	Apache-2.0	LICENSE	VERIFIED	experimental	internal_anon_bundle	SELF+SAFE	CUSTODY_MECHANICS	paper/newinml2026_solo/final_v4/comprehensive_v2
fco_fcg	companion preprint lineage	zenodo.21829929	v4/v5		Custody object/graph formalism	CC-BY-NC-ND-4.0	Zenodo record	VERIFIED	supporting	external_preprint	NON_SELF+SAFE	FRAMEWORK_PROVENANCE	tables/A6_PRIOR_SHARED_PREPRINT_LINEAGE.tsv
gsigmad	https://github.com/biobitworks/gettingsciencedone	see_portfolio_glossary	gsigmad-		Mechanical Scientific Method orchestration	see_upstream	upstream LICENSE	EXEMPT_EXTERNAL_UPSTREAM	supporting	portfolio_reference	NON_SELF+SAFE	GOVERNANCE_ONLY	successor_recovery/SOFTWARE_BOM.tsv
seedgraph	HydraDG_DaisyTrain_v0.3.7/seedgraph	f02eb1c7cb14df303334c91d1fea7d46ef667b2f	v1a		Hierarchical atomization (interrupted)	Apache-2.0	LICENSE	VERIFIED	supporting	partial_internal	SELF+NON_SAFE	PARTIAL_CORPUS	paper/newinml2026_solo/seedgraph_traceability/SEEDGRAPH_TRACEABILITY_CLOSEOUT.json
ollarma	active/ollarma	portfolio_runtime	20260827		Governed local model bridge	see_upstream	upstream LICENSE	EXEMPT_EXTERNAL_UPSTREAM	supporting	internal	NON_SELF+SAFE	INFRASTRUCTURE	successor_recovery/SOFTWARE_BOM.tsv
hydralamp	eval/hydralamp_runtype_20260826	f02eb1c7cb14df303334c91d1fea7d46ef667b2f	20260826		Systems-validation implementation	Apache-2.0	LICENSE	VERIFIED	experimental	internal	SELF+SAFE	SYSTEMS_VALIDATION_ONLY	tables/T2_SYSTEMS_VALIDATION_RESULTS.tsv
hydradb	https://github.com/hydra-db/hydradb	6a2fbb192f37f51a93690a2ae2d2f5e27e6e4219	upstream		Graph database/runtime dependency	AGPL-3.0-upstream-HydraDB	THIRD_PARTY_NOTICES.md	VERIFIED	supporting	internal	NON_SELF+SAFE	PARTIAL_READBACK	THIRD_PARTY_NOTICES.md
antigence	active/antigence	NOT_IN_SOLO_REPO	experimental		Related security implementation	see_upstream	upstream	EXEMPT_EXTERNAL_UPSTREAM	supporting	NOT_ADMITTED_PRIMARY	NON_SELF+NON_SAFE	NOT_ADMISSIBLE_PRIMARY	successor_recovery/appendices/E_antigence.md
vithia	zenodo.21829929 companion	zenodo.21829929	companion		Companion framework evidence	CC-BY-NC-ND-4.0	Zenodo	VERIFIED	supporting	external_preprint	NON_SELF+SAFE	ZERO_PRIMARY_WEIGHT	tables/A6_PRIOR_SHARED_PREPRINT_LINEAGE.tsv
qwen3-1.7b	ollama	frozen_runtime_digest	qwen3:1.7b	see_EXP-008_verdict	Primary experiment model	model_license	Ollama manifest	EXEMPT_RUNTIME_MANIFEST	experimental	local_runtime	SELF+SAFE	UNDERPOWERED	provenance/admitted/*EXP-008*
qwen2.5-coder-7b	ollama	frozen_runtime_digest	qwen2.5-coder:7b	see_EXP-009_verdict	Primary experiment model	model_license	Ollama manifest	EXEMPT_RUNTIME_MANIFEST	experimental	local_runtime	SELF+SAFE	UNDERPOWERED	provenance/admitted/*EXP-009*
neurips2026_style	official NeurIPS 2026 kit	source_freeze	2026		Manuscript template	NeurIPS kit terms	kit zip	EXEMPT_TEMPLATE_TERMS	supporting	bundled_sty	NON_SELF+SAFE	TEMPLATE	manuscript/neurips_2026.sty
cases_jsonl	eval/ic_failure_learning_20260827/cases/CASES.jsonl	frozen	20260828		Primary experiment dataset	Apache-2.0	repo	VERIFIED	experimental	internal_frozen	SELF+SAFE	PRIMARY_EVIDENCE	successor_recovery/DATASET_BOM.tsv
