citation_id	canonical_title	authors	year	venue	doi_or_identifier	concept	main_or_appendix	existing_or_new	hydradg_overlap	hydradg_difference	claim_supported	source_verified	notes
lewis2020rag	Retrieval-augmented generation for knowledge-intensive NLP tasks	P. Lewis et al.	2020	NeurIPS	arXiv:2005.11401	RAG baseline	main	existing	structured retrieval prior art	falsification requires frozen contracts + null retention	related_work_rag	YES	verified NeurIPS 2020 / arXiv
liu2023agentbench	AgentBench: Evaluating LLMs as agents	Y. Liu et al.	2023	arXiv:2308.03688	agent evaluation	main	existing	benchmarks omit failed runs	custody mandates terminal capture	related_work_agent_eval	YES	verified arXiv metadata
zhou2023webarena	WebArena: A realistic web environment for building autonomous agents	S. Zhou et al.	2023	arXiv:2307.13854	agent evaluation	main	existing	same as AgentBench row	custody layer complement	related_work_agent_eval	YES	verified arXiv metadata
edge2024graphrag	From local to global: A graph RAG approach to query-focused summarization	D. Edge et al.	2024	Microsoft Research / arXiv:2404.16130	structured context	main	existing	graph-augmented memory	HydraDG tests structured FCG not GraphRAG summarization	related_work_structured_context	YES	verified arXiv metadata
nosek2018prereg	The preregistration revolution	B. A. Nosek et al.	2018	PNAS 115(11):2600-2606	doi:10.1073/pnas.1708274114	preregistration	main	existing	frozen hypotheses/manifests	claim ceilings + terminal receipts	prereg_motivation	YES	verified PNAS DOI
wilkinson2016fair	The FAIR guiding principles for scientific data management and stewardship	M. D. Wilkinson et al.	2016	Scientific Data 3:160018	doi:10.1038/sdata.2016.18	FAIR / reproducibility	main	existing	lineage metadata	hash-bound handoffs	repro_motivation	YES	verified Scientific Data DOI
groth2010nano	The anatomy of a nanopublication	P. Groth, A. Gibson, J. Velterop	2010	Information Services & Use 30(1-2):51-56	nanopublications	main	existing	typed scientific assertions	FCO evidence objects not nanopub syntax	lineage_motivation	YES	verified journal metadata
laurie2013ct	Certificate Transparency	B. Laurie, A. Langley, E. Kasper	2013	RFC 6962, IETF June 2013	RFC 6962	append-only Merkle audit logs	main	new	hash-linked FCG roots; tamper detection	HydraDG does not invent Merkle/audit trees	integrity_prior_art	YES	verified RFC Editor + IETF datatracker; independently justified (not copied from Protein Hinge)
lebo2013provo	PROV-O: The PROV Ontology	T. Lebo et al.	2013	W3C Recommendation	PROV-O	provenance ontology	main	promoted from appendix	process lineage typing	claim-promotion ceilings on probabilistic outputs	provenance_prior_art	YES	verified W3C Recommendation
khan2019cwlprov	Sharing interoperable workflow provenance: CWLProv	F. Z. Khan et al.	2019	GigaScience 8(11):giz095	doi:10.1093/gigascience/giz095	workflow provenance	main	promoted from appendix	workflow/run lineage	deterministic transforms + terminal failures as evidence	workflow_provenance	YES	verified GigaScience DOI
karl2024negative	Position: Embracing Negative Results in Machine Learning	F. Karl, L. M. Kemeter, G. Dax, P. Sierak	2024	ICML, PMLR 235:23256-23265	arXiv:2406.03980	negative-result publication	main	new	null/underpowered retention motivation	selective omission vs typed terminal evidence	negative_results_motivation	YES	verified PMLR proceedings + arXiv
wang2026agentprovenance	From Agent Traces to Trust: A Survey of Evidence Tracing and Execution Provenance in LLM Agents	Y. Wang et al.	2026	arXiv:2606.04990	agent execution provenance	main	new	trace/evidence graphs for agents	scientific custody contract + claim ceilings; not novel agent provenance	agent_provenance_adjacent	YES	verified arXiv abs/html; authors Yiqi Wang et al.
prereg2026	HydraDG IC Failure Learning preregistrations EXP-008 and EXP-009	Anonymous	2026	Internal frozen artifacts	anonymized submission	our preregistration	main	existing	frozen design	empirical scope boundary	EXP008_009_design	YES	internal frozen receipt
stage2	IC Failure Learning Stage-2 closeout receipt	Anonymous	2026	Internal frozen artifacts	anonymized submission	stage-2 baseline	main	existing	historical context	not primary evidence	stage2_context	YES	internal frozen receipt
neurips2026	NewInML workshop call for papers	NeurIPS	2026	Workshop CFP	venue metadata	venue	main	existing	submission context	non-archival track	venue_cite	YES	verified workshop listing
kuhn2014trusty	Trusty URIs: verifiable, immutable digital artifacts	T. Kuhn, M. Dumontier	2014	ESWC 2014	content-addressed artifacts	appendix	existing	citation integrity risk	fabrication desk-rejection context	citation_custody	YES	verified ESWC
