lane	actual_source	observed_identity_at_review	state	actual_work	empirical_role	primary_solo_admission	anonymity_or_license_risk
Mechanical scientific governance	biobitworks/gettingsciencedone	484e42c (HEAD d90c4d6 +343)	IMPLEMENTED	run/ablation/audit/data/FAIR/handoff/negative-result specs	method infrastructure	ARCHITECTURE_ONLY	private repo; identifying
FCO/FCG	biobitworks/fractal-custody-objects	2431dd9 (HEAD 9c8e202 +2)	IMPLEMENTED+EXPERIMENTAL	mechanism experiments incl divergence/escalation/mzML admission	framework/reference evidence	RELATED_FOUNDATIONAL	research/software license split; not pinned in hydradg eval
SeedGraph	biobitworks/seedgraph	f2f5d7e frozen in custody audit (HEAD moved)	IMPLEMENTED; LARGE BUILD PARTIAL	deterministic atomization; bounded HydraDG readbacks	provenance/ingest validation	SYSTEMS_RELATED	private repo; V1A nonterminal
Antigence	biobitworks/antigence	060dba88 (HEAD 1f12b3c +237)	IMPLEMENTED; MIXED RESULTS	AIS benchmarks synthetic+curated+Devign	cross-domain transfer + negative result	RELATED_IMPLEMENTATION	private repo; Apache-2.0 code
Ollarma	biobitworks/ollarma	d0cf78d4 (HEAD 9942f58 +118)	IMPLEMENTED	governed local execution, receipts, MCP/HTTP	execution validation	SYSTEMS_RELATED	private repo; not pinned in hydradg eval
HydraDG	biobitworks/hydradg	38cdb62e72bd26a48b42e286b86303a949a545fa	PRIMARY EXPERIMENTAL SYSTEM	EXP-008/009; retrieval; atomization; HydraDB parity	primary + systems	PRIMARY	must remain anonymous
HydraLamp	biobitworks/hydralamp	0799e94e (match)	IMPLEMENTED; SYSTEMS	perturbation/tamper/concurrency/replay/provider-failure in hydradg eval	bounded systems validation	SYSTEMS_RELATED	private; primary receipts in hydradg not hydralamp repo
Vitaology	biobitworks/vitaology	0efab4aa (HEAD 65de7eb ahead)	IMPLEMENTED PILOTS	22096 atoms; ontology/KG pilots; classifier FAIL gate	cross-domain application	RELATED_IMPLEMENTATION	private; Apache-2.0 code; manuscripts CC-BY-4.0
Vithia companion	Zenodo 10.5281/zenodo.21829929 + HF biobitworks/fco-vithia-fmo-076	gated model 2026-08-07	RELATED/GATED	companion FCO evidence + model artifact	transfer/model lineage	RELATED_IMPLEMENTATION_ONLY	CC-BY-NC-ND; do not redistribute
Anticube semantics	xenodisorder bootstrap + antigence actor_matrix	NO single canonical doc	BLOCKED	2x2 self/non-self x safe/non-safe schema distributed	terminology only	DEVELOPMENT_LINEAGE	Appendix F blocked pending ANTICUBE_SPACE_TIME v2
Protein Hinge / TEAM	N/A	N/A	EXCLUDED	zero primary admission	N/A	EXCLUDED=0	N/A
