experiment_id	name	repo	commit	path	date	host	dataset	models	conditions	n_raw	n_valid	experimental_unit	endpoint	preregistered	terminal_state	result_direction	evidence_class	claim_ceiling	paper_role	reproducible_now	command_available	environment_available	source_hash	notes
EXP-008	Flat vs FCG retrieval	biobitworks/hydradg	5cc7b50c29f518c05717ad843d848430b55f9516	eval/ic_failure_learning_20260827	20260828	magicSTUDIObox.local	CASES.jsonl	qwen3:1.7b;qwen2.5-coder:7b	C0_FLAT vs C1_FCG	300	272	case_model	E06_prevents_C	YES	UNDERPOWERED	NULL	VERIFIED_EMPIRICAL_RESULT	PRIMARY_PROBABILISTIC	MAIN	NO	historical	NO	8658cc025dab3b9c65a6e0fc64ff4bbd352343ecfd9a50d9205f63cbaebdff84	Studio-bound inference frozen; verify receipts only
EXP-009	Causal FCG ordering	biobitworks/hydradg	5cc7b50c29f518c05717ad843d848430b55f9516	eval/ic_failure_learning_20260827	20260828	magicSTUDIObox.local	CASES.jsonl	qwen3:1.7b;qwen2.5-coder:7b	CAUSAL_ORDER vs NEUTRAL	300	265	case_model	E06_prevents_C	YES	UNDERPOWERED	EXPLORATORY_SECONDARY_ONLY	VERIFIED_EMPIRICAL_RESULT	PRIMARY_PROBABILISTIC	MAIN	NO	historical	NO	8658cc025dab3b9c65a6e0fc64ff4bbd352343ecfd9a50d9205f63cbaebdff84	ordering_established=false
IC-FAILURE-LEARNING-STAGE2	Failure learning M0/M1/M2	biobitworks/hydradg	5cc7b50c29f518c05717ad843d848430b55f9516	eval/ic_failure_learning_20260827	20260827	magicSTUDIObox.local	CASES.jsonl	M0;M1;M2	M0 vs M1 vs M2	432	414	case_model_gen	multi_endpoint	YES	FAILURE_LEARNING_NOT_ESTABLISHED	NULL	VERIFIED_EMPIRICAL_RESULT	HISTORICAL_CONTEXT	MAIN_CONTEXT	NO	historical	NO	8658cc025dab3b9c65a6e0fc64ff4bbd352343ecfd9a50d9205f63cbaebdff84	18 canary partial rows
HYDRALAMP-CORE-STRESS	HydraLamp perturbation matrix	biobitworks/hydradg	5cc7b50c29f518c05717ad843d848430b55f9516	eval/hydralamp_runtype_20260826	20260826	magicSTUDIObox.local	synthetic_perturbation	deterministic	4x25 cells	100	100	run_cell	hash_chain_ok	YES	PASS	POSITIVE_SYSTEMS	DETERMINISTIC_TOOL_OUTPUT	SYSTEMS_VALIDATION	SYSTEMS	YES	python3 scripts/build_successor_recovery.py	YES	b5b9320a68dcce06ac139aa75f215ad07e3ca1a216f4e899adb8f53510425ce4	Not treatment-effect evidence
HYDRALAMP-TAMPER	HydraLamp tamper detection	biobitworks/hydradg	5cc7b50c29f518c05717ad843d848430b55f9516	eval/hydralamp_runtype_20260826	20260826	magicSTUDIObox.local	synthetic_tamper	deterministic	8 tamper modes	8	8	tamper_case	detected	YES	PASS	POSITIVE_SYSTEMS	DETERMINISTIC_TOOL_OUTPUT	SYSTEMS_VALIDATION	SYSTEMS	YES	python3 scripts/build_successor_recovery.py	YES	b5b9320a68dcce06ac139aa75f215ad07e3ca1a216f4e899adb8f53510425ce4	Synthetic only
CONTEXT-VS-ENTROPY	Context classification scan	biobitworks/hydradg	5cc7b50c29f518c05717ad843d848430b55f9516	eval/context_vs_entropy_20260820	20260820	magicPRObox.local	repo_secret_scan	deterministic	entropy_proxy	18567	18555	finding	context_class	NO	COMPLETE	DESCRIPTIVE	DETERMINISTIC_TOOL_OUTPUT	ENGINEERING_PROXY	MINOR	YES	verify frozen JSON	YES	b714c24d4892d426d0cf734076b271ec9b8af66698ae0456a596cc9373a484ed	Delta-G* NOT_COMPUTED here
COTAL-HYDRADG-ABLATION	CoTAL HydraDG ablation	biobitworks/hydradg	5cc7b50c29f518c05717ad843d848430b55f9516	eval/cotal_hydradg_ablation_20260827	20260827	magicSTUDIObox.local	10 fixtures	local_models	A/B/C/D	40	40	fixture_cell	descriptive	YES	COMPLETE	DESCRIPTIVE	VERIFIED_EMPIRICAL_RESULT	MINOR_ABLATION	APPENDIX	NO	historical	NO	76d2745a5fc46c42e7605d7cf15d3da20459a94cad6c9655f06022fd02f190b2	
NEWINML-DOC-ROUNDTRIP-001	Doc roundtrip validation	biobitworks/hydradg	5cc7b50c29f518c05717ad843d848430b55f9516	eval/newinml_doc_roundtrip_20260829	20260829	magicSTUDIObox.local	held_out_docs	qwen2.5-coder:7b	roundtrip	12	12	document	exact_match	YES	TERMINAL_PASS	NULL	DETERMINISTIC_TOOL_OUTPUT	CUSTODY_VALIDATION	MINOR	YES	python3 scripts/newinml_doc_roundtrip_execute.py	YES		McNemar p=1.0
SEEDGRAPH-TRACEABILITY-001	SeedGraph traceability	biobitworks/hydradg	5cc7b50c29f518c05717ad843d848430b55f9516	paper/newinml2026_solo/seedgraph_traceability	20260829	magicPRObox.local	manuscript_atoms	deterministic	traceability	163	163	atom	graph_write	YES	TERMINAL_PASS	PARTIAL_CORPUS	DETERMINISTIC_TOOL_OUTPUT	CUSTODY_MECHANICS	MINOR	YES	python3 scripts/newinml_seedgraph_full_traceability_execute.py	YES	15da585078e8de6421874ff55611dbe22e8344abeba4e89aa1b2a22f63b07d4e	TOTAL_VERIFIED_INGEST_COMPLETE=NO
AGENT-NATIVE-BUILDERS	Hackathon agent-native fixtures	biobitworks/hydradg	5cc7b50c29f518c05717ad843d848430b55f9516	eval/agent_native_builders_20260826	20260826	magicSTUDIObox.local	20 fixtures	agent_runtime	builder_lane	20	20	fixture	pass_fail	YES	EXECUTED	MIXED	VERIFIED_EMPIRICAL_RESULT	HACKATHON_DEMO	APPENDIX	NO	historical	NO	399fd58ec7d53a024f291d7273aec3e64d2985acf21bdf0ac8853c422c1bd67a	
