experiment_id	name	repo	commit	path	date	host	dataset	models	conditions	n_raw	n_valid	experimental_unit	endpoint	preregistered	terminal_state	result_direction	evidence_class	claim_ceiling	paper_role	reproducible_now	command_available	environment_available	source_hash	notes
EXP-008	Flat vs FCG retrieval	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/ic_failure_learning_20260827	20260828	magicSTUDIObox.local	CASES.jsonl	qwen3:1.7b;qwen2.5-coder:7b	C0_FLAT vs C1_FCG	300	272	case_model	E06_prevents_C	YES	UNDERPOWERED	NULL	VERIFIED_EMPIRICAL_RESULT	PRIMARY_PROBABILISTIC	MAIN	NO	historical	NO	7c09ae41d916756bd18ac3baf996ca879019e68f3c9a951a7e029895c9fa4d0c	Studio-bound inference frozen; verify receipts only
EXP-009	Causal FCG ordering	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/ic_failure_learning_20260827	20260828	magicSTUDIObox.local	CASES.jsonl	qwen3:1.7b;qwen2.5-coder:7b	CAUSAL_ORDER vs NEUTRAL	300	265	case_model	E06_prevents_C	YES	UNDERPOWERED	EXPLORATORY_SECONDARY_ONLY	VERIFIED_EMPIRICAL_RESULT	PRIMARY_PROBABILISTIC	MAIN	NO	historical	NO	7c09ae41d916756bd18ac3baf996ca879019e68f3c9a951a7e029895c9fa4d0c	ordering_established=false
IC-FAILURE-LEARNING-STAGE2	Failure learning M0/M1/M2	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/ic_failure_learning_20260827	20260827	magicSTUDIObox.local	CASES.jsonl	M0;M1;M2	M0 vs M1 vs M2	432	414	case_model_gen	multi_endpoint	YES	FAILURE_LEARNING_NOT_ESTABLISHED	NULL	VERIFIED_EMPIRICAL_RESULT	HISTORICAL_CONTEXT	MAIN_CONTEXT	NO	historical	NO	7c09ae41d916756bd18ac3baf996ca879019e68f3c9a951a7e029895c9fa4d0c	18 canary partial rows
HYDRALAMP-CORE-STRESS	HydraLamp perturbation matrix	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/hydralamp_runtype_20260826	20260826	magicSTUDIObox.local	synthetic_perturbation	deterministic	4x25 cells	100	100	run_cell	hash_chain_ok	YES	PASS	POSITIVE_SYSTEMS	DETERMINISTIC_TOOL_OUTPUT	SYSTEMS_VALIDATION	SYSTEMS	YES	python3 scripts/build_successor_recovery.py	YES	9d2255ee1d2b747574cd2c4d3218d9d5daaa4918db45da786a131a9cb11f7e39	Not treatment-effect evidence
HYDRALAMP-TAMPER	HydraLamp tamper detection	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/hydralamp_runtype_20260826	20260826	magicSTUDIObox.local	synthetic_tamper	deterministic	8 tamper modes	8	8	tamper_case	detected	YES	PASS	POSITIVE_SYSTEMS	DETERMINISTIC_TOOL_OUTPUT	SYSTEMS_VALIDATION	SYSTEMS	YES	python3 scripts/build_successor_recovery.py	YES	9d2255ee1d2b747574cd2c4d3218d9d5daaa4918db45da786a131a9cb11f7e39	Synthetic only
CONTEXT-VS-ENTROPY	Context classification scan	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/context_vs_entropy_20260820	20260820	magicPRObox.local	repo_secret_scan	deterministic	entropy_proxy	18567	18555	finding	context_class	NO	COMPLETE	DESCRIPTIVE	DETERMINISTIC_TOOL_OUTPUT	ENGINEERING_PROXY	MINOR	YES	verify frozen JSON	YES	512be8de14feb8512b5dcb7724df740bc2f027946f9250859f91d37e984d5e91	Delta-G* NOT_COMPUTED here
COTAL-HYDRADG-ABLATION	CoTAL HydraDG ablation	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/cotal_hydradg_ablation_20260827	20260827	magicSTUDIObox.local	10 fixtures	local_models	A/B/C/D	40	40	fixture_cell	descriptive	YES	COMPLETE	DESCRIPTIVE	VERIFIED_EMPIRICAL_RESULT	MINOR_ABLATION	APPENDIX	NO	historical	NO	a2b459465df203d08abc804c86ecf948772685af6d655c019501b230d8aff9b9	
NEWINML-DOC-ROUNDTRIP-001	Doc roundtrip validation	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/newinml_doc_roundtrip_20260829	20260829	magicSTUDIObox.local	held_out_docs	qwen2.5-coder:7b	roundtrip	12	12	document	exact_match	YES	TERMINAL_PASS	NULL	DETERMINISTIC_TOOL_OUTPUT	CUSTODY_VALIDATION	MINOR	YES	python3 scripts/newinml_doc_roundtrip_execute.py	YES		McNemar p=1.0
SEEDGRAPH-TRACEABILITY-001	SeedGraph traceability	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	paper/newinml2026_solo/seedgraph_traceability	20260829	magicPRObox.local	manuscript_atoms	deterministic	traceability	163	163	atom	graph_write	YES	TERMINAL_PASS	PARTIAL_CORPUS	DETERMINISTIC_TOOL_OUTPUT	CUSTODY_MECHANICS	MINOR	YES	python3 scripts/newinml_seedgraph_full_traceability_execute.py	YES	14b5d18e04c089009f1b8020e44a4fb8223f8d457d7711425012fa8fafa9ca84	TOTAL_VERIFIED_INGEST_COMPLETE=NO
AGENT-NATIVE-BUILDERS	Hackathon agent-native fixtures	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/agent_native_builders_20260826	20260826	magicSTUDIObox.local	20 fixtures	agent_runtime	builder_lane	20	20	fixture	pass_fail	YES	EXECUTED	MIXED	VERIFIED_EMPIRICAL_RESULT	HACKATHON_DEMO	APPENDIX	NO	historical	NO	6d29f6587fa9e0a459249f4218dfcb26333d29f838501348ca03656d07fc3ad7	
