figure_id	appendix	requested_visual	current_predecessor_equivalent	current_state	required_source_binding	admission_requirement
FIG-MAIN-01	MAIN/A	HydraDG custody/evaluation architecture: preregistration -> frozen manifest -> actor/model/runtime -> execution -> raw output -> deterministic parser/scorer -> FCO -> FCG -> statistics -> claim ceiling	FIG-001 simple bar schematic	PARTIAL	governance specs + frozen evidence contract	Replace hard-coded labels with governed figure text/spec; reverse trace and R1/R2/R3
FIG-MAIN-02	A/C	Experiment landscape / terminal-state map including positive/null/negative/underpowered/failed/blocked/not-computed	FIG-003	FAIL_HARDCODED	EXPERIMENT_MASTER_LEDGER rebuilt from authoritative receipts	Counts must be computed from ledger; ledger historical SHA provenance repaired
FIG-MAIN-03	B	Primary empirical results EXP-008/009 with exact rates/effects/uncertainty	FIG-002	FAIL_HARDCODED_VALUES	admitted EXP-008/009 verdicts + deterministic statistics CSV	No numeric renderer literals; exact uncertainty definition and source binding
FIG-MAIN-04	C	Failure-preservation / document-roundtrip outcome accounting	no exact figure	MISSING	failure registry + document-roundtrip receipt	Derive terminal phenotype counts from receipts
FIG-D1	D	HydraLamp perturbation/tamper/concurrency/replay/provider-failure summary	FIG-004	PARTIAL_FAIL_HARDCODED	core stress + tamper + concurrency + replay + provider ladder receipts	All panels/values independently source-bound; systems-only claim ceiling
FIG-E1	E	Mechanical Scientific Method / GettingScienceDone governed workflow	missing	MISSING	versioned GSD specs	Conceptual deterministic diagram; no empirical implication
FIG-E2	E	Governed implementation federation + deterministic-core / ML-complement split	missing	MISSING	component source map + ML complement matrix	Anonymous reviewer projection + internal repo/SHA map
FIG-F1	F	Canonical Anticube 2x2: SELF/NON-SELF x SAFE/NON-SAFE	missing as canonical 2x2	MISSING	canonical Anticube source	No invented scalar; unknown/unresolved remain first-class where specified
FIG-F2	F	3D Anticube trajectory: X SELF<->NON-SELF; Y NON-SAFE<->SAFE; Z time/governed state; Delta-G separate	FIG-005 2D lines	PARTIAL	canonical trajectory JSONL + canonical axis semantics	3D trajectory plus separate Delta-G panel only if Delta-G is actually computed; otherwise NOT_COMPUTED
FIG-G1	G	FCO/FCG source/evidence -> deterministic/probabilistic transform -> derived evidence -> claim -> artifact graph	FIG-001 partial	PARTIAL	canonical FCO/FCG spec + admitted example	Versioned edge vocabulary and exact reverse trace
FIG-G2	G	FCO mechanism evidence summary: EXP-013/014/019/025	missing	MISSING	frozen FCO experiment summaries	Quantitative panels computed from exact summaries; bounded claim labels
FIG-H1	H	SeedGraph hierarchy: source/document/paragraph(or turn)/sentence/fact(or relation)/atom + pointer/hash	missing	MISSING	SeedGraph canonical schema/implementation	Conceptual hierarchy plus bounded atomization evidence separately labeled
FIG-H2	H	Reverse trace: visible paper value/claim -> FigureTextAtom/FCO -> FCG -> source pointer -> exact source bytes	missing	MISSING	deterministic figure protocol + admitted source	Forward/reverse bijection, SVG text roundtrip, zero scientific renderer literals
FIG-I1	I	Cross-domain implementation/evidence-tier map: primary vs systems vs related vs development/planned	missing	MISSING	federation implementation matrix	No cross-project evidence pooling
FIG-P1	P	Claim/table/figure hash lineage and source-coverage map	missing	MISSING	claim evidence ledger + artifact receipts	100% material claim reverse-trace coverage
FIG-Q1	Q	Submission artifact custody manifest / package root (hash identity only)	missing	MISSING	package manifest + exact artifact hashes	No signature/MMR symbolism unless real operation exists
FIG-X1	OPTIONAL	Context-state / CFMO / Delta-G trajectory or Context Iceberg	FIG-006 not equivalent	BLOCKED_NOT_COMPUTED	actual metric computations + frozen formulas	Do not plot Delta-G values when state is NOT_COMPUTED
